man buys car.
man buys sofa.
man buys notebook.
man steals sofa.
man steals notebook.
man breaks notebook.
woman buys car.
woman buys sofa.
woman buys notebook.
woman steals car.
woman steals sofa.
woman breaks car.
woman breaks sofa.
woman breaks notebook.
man buys old car.
man buys old sofa.
man buys old notebook.
man buys new sofa.
man buys new notebook.
man buys red car.
man buys red sofa.
man buys blue car.
man buys blue sofa.
man steals old notebook.
man steals new sofa.
man steals red car.
man steals red sofa.
man steals blue car.
man steals blue sofa.
man breaks old car.
man breaks old sofa.
man breaks new car.
man breaks new sofa.
man breaks red sofa.
man breaks blue car.
man breaks blue sofa.
woman buys old sofa.
woman buys old notebook.
woman buys new sofa.
woman buys blue car.
woman buys blue sofa.
woman steals old car.
woman steals old sofa.
woman steals new sofa.
woman steals new notebook.
woman steals red car.
woman steals red notebook.
woman steals blue car.
woman breaks new sofa.
woman breaks new notebook.
woman breaks red car.
woman breaks red sofa.
woman breaks blue notebook.
man steals car.
man breaks sofa.
man buys new car.
man buys blue notebook.
man steals old car.
man steals red notebook.
woman buys new car.
woman buys blue notebook.
woman steals old notebook.
woman steals blue notebook.
woman breaks old sofa.
woman breaks blue car.
