hombre compra coche.
hombre rompe cuaderno.
hombre roba cuaderno.
mujer rompe coche.
mujer compra sillon.
hombre compra coche viejo.
hombre compra cuaderno nuevo.
hombre compra sillon azul.
hombre rompe coche azul.
mujer roba sillon viejo.
mujer roba cuaderno nuevo.
mujer roba cuaderno rojo.
mujer rompe sillon nuevo.
mujer rompe coche rojo.
hombre compra cuaderno azul.
hombre roba coche viejo.
hombre roba cuaderno rojo.
mujer roba coche viejo.
mujer rompe sillon viejo.
mujer rompe coche azul.
